[2024-03-01 13:05:04,797: INFO: main: Welcome to our custom log]
[2024-03-01 14:45:57,134: INFO: common: yaml file: E:\KidneyDiseaseclassfication\config\config.yaml loaded successfully]
[2024-03-01 14:45:57,144: INFO: common: yaml file: E:\KidneyDiseaseclassfication\params.yaml loaded successfully]
[2024-03-01 14:45:57,151: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-01 14:45:57,154: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-01 14:46:44,469: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-01 15:04:04,704: INFO: common: yaml file: E:\KidneyDiseaseclassfication\config\config.yaml loaded successfully]
[2024-03-01 15:04:04,712: INFO: common: yaml file: E:\KidneyDiseaseclassfication\params.yaml loaded successfully]
[2024-03-01 15:04:04,717: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-01 15:04:04,722: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-01 15:04:58,026: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-01 15:09:57,384: INFO: common: yaml file: E:\KidneyDiseaseclassfication\config\config.yaml loaded successfully]
[2024-03-01 15:09:57,390: INFO: common: yaml file: E:\KidneyDiseaseclassfication\params.yaml loaded successfully]
[2024-03-01 15:09:57,393: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-01 15:09:57,398: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file KidneyDiseaseclassfication/research/artifacts/data_ingestion/data.zip]
[2024-03-01 15:10:39,221: INFO: common: yaml file: E:\KidneyDiseaseclassfication\config\config.yaml loaded successfully]
[2024-03-01 15:10:39,229: INFO: common: yaml file: E:\KidneyDiseaseclassfication\params.yaml loaded successfully]
[2024-03-01 15:10:39,231: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-01 15:10:39,236: INFO: 2401468353: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file KidneyDiseaseclassfication/research/artifacts/data_ingestion/data.zip]
[2024-03-01 15:11:30,695: INFO: 2401468353: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file KidneyDiseaseclassfication/research/artifacts/data_ingestion/data.zip]
[2024-03-01 15:14:09,246: INFO: common: yaml file: E:\KidneyDiseaseclassfication\config\config.yaml loaded successfully]
[2024-03-01 15:14:09,255: INFO: common: yaml file: E:\KidneyDiseaseclassfication\params.yaml loaded successfully]
[2024-03-01 15:14:09,259: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-01 15:14:09,261: INFO: 2401468353: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file KidneyDiseaseclassfication/research/artifacts/data_ingestion/data.zip]
[2024-03-01 15:14:54,582: INFO: 2401468353: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file KidneyDiseaseclassfication/research/artifacts/data_ingestion/data.zip]
[2024-03-01 15:31:27,673: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-01 15:31:27,677: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-01 15:31:27,681: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-01 15:31:27,683: INFO: common: created directory at: artifacts]
[2024-03-01 15:31:27,683: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-01 15:31:27,685: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file KidneyDiseaseclassfication/research/artifacts/data_ingestion/data.zip]
[2024-03-01 15:31:56,058: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file KidneyDiseaseclassfication/research/artifacts/data_ingestion/data.zip]
[2024-03-01 15:31:57,281: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
